"mmm... hot chocolate, ugboots and topgear... life is good.",1
Ohh poor girl  I`ll email her... I am relying on you being here in October Mr!!,0
oh no! I just crashed my ball pump,0
Thanks for pointing out the crucial problems . Both of them have been taken care of  (cc: ),1
- Overwhelming lead for Strawberry Lemonade!!  My husband voted for Banana Fosters tho.,1
OMFG my favourite jerk chicken place closed,0
OMGoodness back to school soon FUN!,1
LOL I love my MacBook too. Oh and my iMac. Can`t decide which I love more. OK 24' iMac trumps 13' MacBook,1
I like your HR shirts. They`re inspiring me to think of witty/rude HR-like sayings I`d never actually wear.,1
it`s too beautiful to stay inside,1
Got people don`t let me skip sci pratical becos skola is impt and cannot waste my parents money.  Nt fair.,0
Getting my self a nice cup of tea and turn on some music,1
Oh **** ... Placebo tix and Tori Amos both go on sale at 9am. Anticipating hot cake distribution of both.,0
"I saw your tweet a couple of weeks ago that had that hashtag, so wanted to contribute since I am a huge Mitch fan",1
im so tired  &i miss dionee already.,0
why are plane tickets so expensive,0
unfortunately I choose sleep over gym almost everyday  trying to get over it!,0
He needs to go back to his Scotty. That is what he was using when he won last year,1
"haha no chance, I tweet rubbish back!",0
I have MAJOR CRAMPLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0
Whaaaaaaaaaat?!  Thas HOT B!    Super nice!,1
too many good shows coming up and no money to buy tickets. fmfl. brand new at the troub?,1
"6:29 pm - ok, let`s go now through #bowman #strategicClock but first.. a break :-0 aargh.. tired",0
Grrrr....I got the wrong size coat for the sheep,0
OHHH my bad! yes him  heh heh,0
"Totally unsurprised that Dave isn`t coming back to 10. But Annalisa is wrong for it, opposite of big warm mellow Dave.",0
"Just got back in, and I`m absolutely exhausted, have to be up in 5 hours for work",0
I KNOW!!!! Its all stormy outside.. and my hair looks cute today..  hahah,1
Ahh okay makes sense to start the preparations now then,1
juss dropped the wife off I love her so,1
"Early Monday,great  Rainy Monday,not so great :|",0
wonders when all of these end... hay...  http://plurk.com/p/wy9wi,0
http://twitpic.com/4jam0 - Oh it`s so beautiful! I`m happy you had a great time! Heartz,1
iPhone is doing that 'not opening downloaded apps' thing and I forgot my cord at home,0
Didn`t get to go wakeboarding  but i`ll be good cause i`m having a lush night!,1
Feeling down again. Today is way too stressful.,0
gah! no money..... at least not for bakugan,0
Happy Monday!  Lots of little things to do today!  Tried to water plants out front very early in jammies! Got caught by two neighbors!!,1
",:Mother, Happy Mother`s Day.... and to all Mom`s there......  God Bless yhaw all... ?",1
"thinking lots of revision tomorrow  woo, hope it a sunny one.",1
awww wish I was there! Have a brew for me B!,1
"Ntah, I really wanna be there",1
is starting to love twitter!!! Facebook-detox diet is working great,1
OMG...the heater in my room has been on all day while i was at school & now it`s boiling,0
I LOVE CHICAGO.   Tonight was AMAZING!!,1
"You`re welcome, of course!",1
May the 4th be with you too,1
wow...you leave facebook alone for the weekend and get 60 new notifications. WHEW!,1
ugh im crying again  writing a rant about it on tumblr.,0
Not even better than Kapsel cha  Dy nulis notes? Spertinya gw ga ditag cuz g ada notificationnya... Huhu.,0
its like that with the goo goo dolls for me. Then I heard 'iris' and absolutely loved it,1
Getting ready to go study outside while having some fun in such a nice sunny day.,1
"So has anyone had that yucky new throwback pepsi and mountain dew yet? If they plan on keeping it around, I will not be drinking it!",0
Ashley= getting sick... Ugh I`m losing my voice! Nooo,0
I dont like the dentist...they make my gums hurt,0
woke up from napping  finally got the sleep i needed,1
Ugh.. Fricken Internet is down. Can do like 0 work without it. I want back in college just for the connection,0
i feel that!! esp when you know u aint done the wrong  <3 U!,1
"Im home, phone died thou",0
Can`t believe i`m spending my lunch break inside @ my desk,1
are you having any problems sending images from Twitterberry  mine just doesn`t want to work ! ****,0
"I don`t mind whistlers if they are actually whistling a tune, but those who just whistle nothing drive me crazy!",1
This world makes me sad,0
sure ill follow you hun  ohh thank you are you a subscriber on my youtube?,1
I think that plus everyone wants to see if the D-train could keep it going - obviously not.  Hopefully he`ll bounce back.,1
Missing Everyone,0
im gonna fail this test miserably in history,0
never expected to hear Beastie Boys in a Star Trek movie... was a super great flick though. *pew peww* -- (phasers),1
